Код ресурса		Номер	Категория	Значение ресурса
TestsInfo			030	1CON	Процеcc тестирования в основном состоит из написания тестовых сценариев. Соответствующий код завершения тестового сценария является результатом теста: {V1} - тест выполнен, {V3} - тест пропущен, {V4} - тест содержит логическую ошибку, от {V2} и больше - тест провален. Тестовый сценарий может содержать проверки нескольких тестовых случаев ^(Test Cases^). 
TestsResultsInfo	031	1CON	При этом, тест выполнен успешно ^({V1}^), если пройдены проверки всех тестовых случаев тестового сценария. Тест {V2} - если не пройдена какая-либо проверка, причём указывается порядковый номер не пройденной проверки. Тест {V3} - если тест вернул соответствующий код возврата, например, в случае, когда какой-либо тестовый сценарий пока не реализован. Тест с ошибкой ^({V4}^) - если тест обнаружил неверный параметр, проблемы с сетью, отсутствующий объект файловой системы ^(файл, каталог, ссылку, ...^), отсутствующую утилиту, необходимую для работы теста и т.д.
TestFunc2			032	1CON	2. Тестирование 'чёрного' и 'белого ящика'
TestsPrefixInfo		033	1CON	Для любых исполняемых модулей поддерживается тестирование 'чёрного ящика', а для командных сценариев ещё и 'белого ящика', в зависимости от префикса имени тестового сценария. Префикс {V1} - для тестирования 'чёрного ящика' ^(например, {V1}script.cmd^), а {V2} - для 'белого ящика' ^(например, {V2}script.cmd^). Метод 'чёрного ящика' можно применять для тестирования интерфейса командной строки исполняемых модулей, а 'белого ящика' - только для непосредственного тестирования процедур командных сценариев, так как перед выполнением теста исходный сценарий автоматически присоединяется к тестовому.
TestFunc3			034	1CON	3. Тестовые наборы
TestsDirsInfo		035	1CON	Если исходный сценарий расположен по пути {V1}\src_script.cmd, то его тестовые сценарии ^(тестовые наборы - Test Suite^) должны располагаться в каталоге {V2}src_script ^(например, {V2}src_script\test_script_1.cmd, {V2}src_script\test_script_2.cmd, ...^). Определяется время выполнения тестирования, в том числе по каждому тестовому набору и каждому успешно выполненному тесту в наборе.
TestFunc4			036	1CON	4. Установка и удаление фикстуры
TestsSpecScripts	037	1CON	В каждом тестовом наборе могут быть предопределённые по имени сценарии установки и удаления тестового окружения ^(фикстуры^), которые выполнятся по одному разу для соответствующего тестового набора. Например, сценарий {V1}src_script\{V2} выполнится перед выполнением тестового набора для исходного сценария src_script.cmd, а сценарий {V1}src_script\{V3} - после выполнения тестового набора. При тестировании 'белого ящика' в сценарии установки фикстуры ^({V2}^) можно указать какие дополнительные сценарии необходимо соединить с тестовым перед ^({V4}^) или после ^({V5}^) него. 
;Например, команда в сценарии фикстуры {V2} 'echo {V4}^=another_script.cmd' укажет присоединить тестовый скрипт к скрипту another_script.cmd, а затем выполнить тест.
TestFunc5			038	1CON	5. Взаимодействие с тестируемым исполняемым модулем
TestsParamsInfo		039	1CON	Каждому тестовому и предопределённому сценарию передаются параметры в следующем порядке: 1 - путь к исходному исполняемому модулю ^(сценарию, программе или утилите^), 2 - его каталог, 3 - его имя. В тесте эти параметры можно использовать, например, для перехода в каталог исполняемого модуля или, в случае тестирования 'белого ящика', вызова его предопределённых процедур или перехода на метки.
TestFunc6			040	1CON	6. Мантра "red/green/refactor"
TestsRGRInfo		041	1CON	При использования мантры "red/green/refactor" результаты выполнения тестов отображаются в одну строку следующим образом: {V1} - тест выполнен, {V2} - тест провален, {V3} - тест пропущен и {V4} - тест содержит логическую ошибку.
TestsExamples		042	1CON	Примеры тестовых сценариев 'чёрного' и 'белого ящика' находятся в каталоге {V1}example_script.
